Article Title,author,Abstract,note,year,month,doi,howpublished,Document Type,ID,include,reason
AI based Content Creation and Product Recommendation Applications in E-commerce: An Ethical overview,"Jain, Madhusudan, Aditi AND Jain, Ayush","As e-commerce rapidly integrates artificial intelligence for content creation and product recommendations, these technologies offer significant benefits in personalization and efficiency. AI-driven systems automate product descriptions, generate dynamic advertisements, and deliver tailored recommendations based on consumer behavior, as seen in major platforms like Amazon and Shopify. However, the widespread use of AI in e-commerce raises crucial ethical challenges, particularly around dataprivacy, algorithmic bias, and consumer autonomy. Bias -- whether cultural, gender-based, or socioeconomic -- can be inadvertently embedded in AI models, leading to inequitable product recommendations and reinforcing harmful stereotypes. This paper examines the ethical implications of AI-driven content creation and product recommendations, emphasizing the need for frameworks to ensurefairness, transparency, and need for more established and robust ethical standards. We propose actionable best practices to remove bias and ensure inclusivity, such as conducting regularauditsof algorithms, diversifying training data, and incorporatingfairnessmetrics into AI models. Additionally, we discuss frameworks for ethical conformance that focus on safeguarding consumer dataprivacy, promoting transparency in decision-making processes, and enhancing consumer autonomy. By addressing these issues, we provide guidelines for responsibly utilizing AI in e-commerce applications for content creation and product recommendations, ensuring that these technologies are both effective and ethically sound.",,2025,jun,https://doi.org/10.48550/arXiv.2506.17370,\url{https://arxiv.org/pdf/2506.17370},ARTICLE,Jain2025,no,survey or review
DifferentialPrivacyfor Deep Learning in Medicine,"Mohammadi, Marziyeh AND Vejdanihemmat, Mohsen AND Lotfinia, Mahshad AND Rusu, Mirabela AND Truhn, Daniel AND Maier, Andreas AND Arasteh, Tayebi, Soroosh","Differentialprivacy(DP) is a key technique for protecting sensitive patient data in medical deep learning (DL). As clinical models grow more data-dependent, balancingprivacywith utility andfairnesshas become a critical challenge. This scoping review synthesizes recent developments in applying DP to medical DL, with a particular focus on DP-SGD and alternative mechanisms across centralized and federated settings. Using a structured search strategy, we identified 74 studies published up to March 2025. Our analysis spans diverse data modalities, training setups, and downstream tasks, and highlights the tradeoffs betweenprivacyguarantees, model accuracy, and subgroupfairness. We find that while DP-especially at strongprivacybudgets-can preserve performance in well-structured imaging tasks, severe degradation often occurs under strictprivacy, particularly in underrepresented or complex modalities. Furthermore,privacy-induced performance gaps disproportionately affect demographic subgroups, withfairnessimpacts varying by data type and task. A small subset of studies explicitly addresses these tradeoffs through subgroup analysis orfairnessmetrics, but most omit them entirely. Beyond DP-SGD, emerging approaches leverage alternative mechanisms, generative models, and hybrid federated designs, though reporting remains inconsistent. We conclude by outlining key gaps infairnessauditing, standardization, and evaluation protocols, offering guidance for future work toward equitable and clinically robustprivacy-preserving DL systems in medicine.",,2025,may,https://doi.org/10.48550/arXiv.2506.00660,\url{https://arxiv.org/pdf/2506.00660},ARTICLE,Mohammadi2025,no,survey or review
Ethical AI: Towards Defining a Collective Evaluation Framework,"Sharma, Kumar, Aasish AND Kyosev, Dimitar AND Kunkel, Julian","Artificial Intelligence (AI) is transforming sectors such as healthcare, finance, and autonomous systems, offering powerful tools for innovation. Yet its rapid integration raises urgent ethical concerns related to data ownership,privacy, and systemic bias. Issues like opaque decision-making, misleading outputs, and unfair treatment in high-stakes domains underscore the need for transparent and accountable AI systems. This article addresses these challenges by proposing a modular ethical assessment framework built on ontological blocks of meaning-discrete, interpretable units that encode ethical principles such asfairness, accountability, and ownership. By integrating these blocks withFAIR(Findable, Accessible, Interoperable, Reusable) principles, the framework supports scalable, transparent, and legally aligned ethical evaluations, including compliance with the EU AI Act. Using a real-world use case in AI-powered investor profiling, the paper demonstrates how the framework enables dynamic, behavior-informed risk classification. The findings suggest that ontological blocks offer a promising path toward explainable andauditableAI ethics, though challenges remain in automation and probabilistic reasoning.","6 pages, 3 figures, accepted at 8th IEEE International Workshop on Advances in Artificial Intelligence and Machine Learning (AIML 2025): Futuristic AI and ML models & Intelligent Systems",2025,may,https://doi.org/10.48550/arXiv.2506.00233,\url{https://arxiv.org/pdf/2506.00233},ARTICLE,Sharma2025,yes,
"FairPlay for Individuals, Foul Play for Groups?AuditingAnonymization's Impact on MLFairness","Arcolezi, H., Héber AND Alishahi, Mina AND Bendoukha, Adda-Akram AND Kaaniche, Nesrine","Machine learning (ML) algorithms are heavily based on the availability of training data, which, depending on the domain, often includes sensitive information about data providers. This raises criticalprivacyconcerns. Anonymization techniques have emerged as a practical solution to address these issues by generalizing features or suppressing data to make it more difficult to accurately identify individuals. Although recent studies have shown thatprivacy-enhancing technologies can influence ML predictions across different subgroups, thus affectingfairdecision-making, the specific effects of anonymization techniques, such as $k$-anonymity, $\ell$-diversity, and $t$-closeness, on MLfairnessremain largely unexplored. In this work, we systematicallyauditthe impact of anonymization techniques on MLfairness, evaluating both individual and groupfairness. Our quantitative study reveals that anonymization can degrade groupfairnessmetrics by up to four orders of magnitude. Conversely, similarity-based individualfairnessmetrics tend to improve under stronger anonymization, largely as a result of increased input homogeneity. By analyzing varying levels of anonymization across diverseprivacysettings and data distributions, this study provides critical insights into the trade-offs betweenprivacy,fairness, and utility, offering actionable guidelines for responsible AI development. Our code is publicly available at: https://github.com/hharcolezi/anonymity-impact-fairness.",,2025,may,https://doi.org/10.48550/arXiv.2505.07985,\url{https://arxiv.org/pdf/2505.07985},ARTICLE,Arcolezi2025,no,this is about auditing how well anonymization techniques work. probably not relevant
QuantitativeAuditingof AIFairnesswith DifferentiallyPrivateSynthetic Data,"Yuan, Rex, Chih-Cheng AND Wang, Bow-Yaw","Fairnessauditingof AI systems can identify and quantify biases. However, traditionalauditingusing real-world data raises security andprivacyconcerns. It exposesauditorsto security risks as they become custodians of sensitive information and targets for cyberattacks.Privacyrisks arise even without direct breaches, as data analyses can inadvertently expose confidential information. To address these, we propose a framework that leverages differentiallyprivatesynthetic data toauditthefairnessof AI systems. By applyingprivacy-preserving mechanisms, it generates synthetic data that mirrors the statistical properties of the original dataset while ensuringprivacy. This method balances the goal of rigorousfairnessauditingand the need for strongprivacyprotections. Through experiments on real datasets like Adult, COMPAS, and Diabetes, we comparefairnessmetrics of synthetic and real data. By analyzing the alignment and discrepancies between these metrics, we assess the capacity of synthetic data to preserve thefairnessproperties of real data. Our results demonstrate the framework's ability to enable meaningfulfairnessevaluations while safeguarding sensitive information, proving its applicability across critical and sensitive domains.",,2025,apr,https://doi.org/10.48550/arXiv.2504.21634,\url{https://arxiv.org/pdf/2504.21634},ARTICLE,Yuan2025,yes,
"SA2FE: A Secure, Anonymous,Auditable, andFairEdge Computing Service Offloading Framework","Wang, Xiaojian AND Gu, Huayue AND Li, Zhouyu AND Zhou, Fangtong AND Yu, Ruozhou AND Yang, Dejun AND Xue, Guoliang","The inclusion of pervasive computing devices in a democratized edge computing ecosystem can significantly expand the capability and coverage of near-end computing for large-scale applications. However, offloading user tasks to heterogeneous and decentralized edge devices comes with the dual risk of both endangered user data security andprivacydue to the curious base station or malicious edge servers, and unfair offloading and malicious attacks targeting edge servers from other edge servers and/or users. Existing solutions to edge access control and offloading either rely on ""always-on"" cloud servers with reduced edge benefits or fail to protect sensitive user service information. To address these challenges, this paper presents SA2FE, a novel framework for edge access control, offloading and accounting. We design a rerandomizable puzzle primitive and a corresponding scheme to protect sensitive service information from eavesdroppers and ensurefairoffloading decisions, while a blind token-based scheme safeguards userprivacy, prevents double spending, and ensures usage accountability. The security of SA2FE is proved under the Universal Composability framework, and its performance and scalability are demonstrated with implementation on commodity mobile devices and edge servers.",,2025,apr,https://doi.org/10.48550/arXiv.2504.20260,\url{https://arxiv.org/pdf/2504.20260},ARTICLE,Wang2025,no,
Enhancing Trust Through Standards: A Comparative Risk-Impact Framework for Aligning ISO AI Standards with Global Ethical and Regulatory Contexts,"Sankaran, Sridharan","As artificial intelligence (AI) reshapes industries and societies, ensuring its trustworthiness-through mitigating ethical risks like bias, opacity, and accountability deficits-remains a global challenge. International Organization for Standardization (ISO) AI standards, such as ISO/IEC 24027 and 24368, aim to foster responsible development by embeddingfairness, transparency, and risk management into AI systems. However, their effectiveness varies across diverse regulatory landscapes, from the EU's risk-based AI Act to China's stability-focused measures and the U.S.'s fragmented state-led initiatives. This paper introduces a novel Comparative Risk-Impact Assessment Framework to evaluate how well ISO standards address ethical risks within these contexts, proposing enhancements to strengthen their global applicability. By mapping ISO standards to the EU AI Act and surveying regulatory frameworks in ten regions-including the UK, Canada, India, Japan, Singapore, South Korea, and Brazil-we establish a baseline for ethical alignment. The framework, applied to case studies in the EU, US-Colorado, and China, reveals gaps: voluntary ISO standards falter in enforcement (e.g., Colorado) and undervalue region-specific risks likeprivacy(China). We recommend mandatory riskaudits, region-specific annexes, and aprivacy-focused module to enhance ISO's adaptability. This approach not only synthesizes global trends but also offers a replicable tool for aligning standardization with ethical imperatives, fostering interoperability and trust in AI worldwide. Policymakers and standards bodies can leverage these insights to evolve AI governance, ensuring it meets diverse societal needs as the technology advances.",,2025,apr,https://doi.org/10.48550/arXiv.2504.16139,\url{https://arxiv.org/pdf/2504.16139},ARTICLE,Sankaran2025,no,survey or review
P2NIA:Privacy-Preserving Non-IterativeAuditing,"Bourrée, Garcia, Jade AND Lautraite, Hadrien AND Gambs, Sébastien AND Tredan, Gilles AND Merrer, Le, Erwan AND Rottembourg, Benoît","The emergence of AI legislation has increased the need to assess the ethical compliance of high-risk AI systems. Traditionalauditingmethods rely on platforms' application programming interfaces (APIs), where responses to queries are examined through the lens offairnessrequirements. However, such approaches put a significant burden on platforms, as they are forced to maintain APIs while ensuringprivacy, facing the possibility of data leaks. This lack of proper collaboration between the two parties, in turn, causes a significant challenge to theauditor, who is subject to estimation bias as they are unaware of the data distribution of the platform. To address these two issues, we present P2NIA, a novelauditingscheme that proposes a mutually beneficial collaboration for both theauditorand the platform. Extensive experiments demonstrate P2NIA's effectiveness in addressing both issues. In summary, our work introduces aprivacy-preserving and non-iterativeauditscheme that enhancesfairnessassessments using synthetic or local data, avoiding the challenges associated with traditional API-basedaudits.","19 pages, 8 figures",2025,apr,https://doi.org/10.48550/arXiv.2504.00874,\url{https://arxiv.org/pdf/2504.00874},ARTICLE,Bourrée2025,yes,
Sublinear Algorithms for Wasserstein and Total Variation Distances: Applications toFairnessandPrivacyAuditing,"Basu, Debabrota AND Chanda, Debarshi","Resource-efficiently computing representations of probability distributions and the distances between them while only having access to the samples is a fundamental and useful problem across mathematical sciences. In this paper, we propose a generic framework to learn the probability and cumulative distribution functions (PDFs and CDFs) of a sub-Weibull, i.e. almost any light- or heavy-tailed, distribution while the samples from it arrive in a stream. The idea is to reduce these problems into estimating the frequency of an \textit{appropriately chosen subset} of the support of a \textit{properly discretised distribution}. We leverage this reduction to compute mergeable summaries of distributions from the stream of samples while requiring only sublinear space relative to the number of observed samples. This allows us to estimate Wasserstein and Total Variation (TV) distances between any two distributions while samples arrive in streams and from multiple sources. Our algorithms significantly improves on the existing methods for distance estimation incurring super-linear time and linear space complexities, and further extend the mergeable summaries framework to continuous distributions with possibly infinite support. Our results are tight with respect to the existing lower bounds for bounded discrete distributions. In addition, we leverage our proposed estimators of Wasserstein and TV distances to tightlyauditthefairnessandprivacyof algorithms. We empirically demonstrate the efficiency of proposed algorithms across synthetic and real-world datasets.",,2025,jun,https://doi.org/10.48550/arXiv.2503.07775,\url{https://arxiv.org/pdf/2503.07775},ARTICLE,Basu2025,yes,
Fairness-Aware Low-Rank Adaptation Under DemographicPrivacyConstraints,"Kamalaruban, Parameswaran AND Anderson, Mark AND Burrell, Stuart AND Madigan, Maeve AND Skalski, Piotr AND Sutton, David","Pre-trained foundation models can be adapted for specific tasks using Low-Rank Adaptation (LoRA). However, thefairnessproperties of these adapted classifiers remain underexplored. Existingfairness-aware fine-tuning methods rely on direct access to sensitive attributes or their predictors, but in practice, these sensitive attributes are often held under strict consumerprivacycontrols, and neither the attributes nor their predictors are available to model developers, hampering the development offairmodels. To address this issue, we introduce a set of LoRA-based fine-tuning methods that can be trained in a distributed fashion, where model developers andfairnessauditorscollaborate without sharing sensitive attributes or predictors. In this paper, we evaluate three such methods - sensitive unlearning, adversarial training, and orthogonality loss - against afairness-unaware baseline, using experiments on the CelebA and UTK-Face datasets with an ImageNet pre-trained ViT-Base model. We find that orthogonality loss consistently reduces bias while maintaining or improving utility, whereas adversarial training improves False Positive Rate Parity and Demographic Parity in some cases, and sensitive unlearning provides no clear benefit. In tasks where significant biases are present, distributedfairness-aware fine-tuning methods can effectively eliminate bias without compromising consumerprivacyand, in most cases, improve model utility.",,2025,mar,https://doi.org/10.48550/arXiv.2503.05684,\url{https://arxiv.org/pdf/2503.05684},ARTICLE,Kamalaruban2025,no,not auditing OF AI
