Publication Type,Authors,Book Authors,Group Authors,Book Group Authors,Researcher Ids,ORCIDs,Book Editors,Author - Arabic,Grant Principal Investigator,Grant Co Principal Investigator,Article Title,Article Title - SciELO,Article Title - SciELO,Article Title - Chinese,Article Title - Russian,Patent Number,Patent Assignee,Source Title - Arabic,Source Title,Source Title - Korean,Book Series Title,Book Series Subtitle,Volume,Issue,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,Version,Version History,DOI,Book DOI,License Name,License URI,License Description,Early Access Date,Supplement,Document Type,Publication Date,Publication Year,Abstract,Abstract - Foreign,Abstract - English Transliteration,Abstract - Foreign,Abstract - Korean,Conference Title,Conference Date,Conference Sponsor,Conference Location,"Times Cited, WoS Core","Times Cited, CSCD","Times Cited, RSCI","Times Cited, ARCI","Times Cited, BCI","Times Cited, SCIELO","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,ISSN,eISSN,ISBN,Grant Number,No of References,Cited References,Language,Advisor,Committee Member,Copyright,Degree Name,Institution Address,Institution,Dissertation and Thesis Subjects,Author Keywords,Indexed Date,UT (Unique ID),Pubmed Id,
C,"Aalmoes, Jan; Duddu, Vasisht; Boutet, Antoine",,,,,,"Barhamgi, M; Wang, H; Wang, X",,,,On the Alignment of Group Fairness with Attribute Privacy,,,,,,,,"WEB INFORMATION SYSTEMS ENGINEERING-WISE 2024, PT II",,Lecture Notes in Computer Science,,15437,,,,333,348,,,,10.1007/978-981-96-0567-5_24,,,,,,,Proceedings Paper,2025,2025,"Machine learning (ML) models have been adopted for applications with high-stakes decision-making like healthcare and criminal justice. To ensure trustworthy ML models, the new AI regulations (e.g., AI Act) have established several pillars such as privacy, safety and fairness that model design must take into account. Designing such models requires an understanding of the interactions between fairness definitions with different notions of privacy. Specifically, the interaction of group fairness (i.e., protection against discriminatory behaviour across demographic subgroups) with attribute privacy (i.e., resistance to attribute inference attacks-AIAs), has not been comprehensively studied. In this paper, we study in depth, both theoretically and empirically, the alignment of group fairness with attribute privacy in a blackbox setting. We first propose ADAPTAIA, which outperforms existing AIAs on real-world datasets with class imbalances in sensitive attributes. We then show that group fairness theoretically bounds the success of ADAPTAIA, which depends on the choice of fairness metrics (e.g., demographic parity or equalized odds). Through our empirical study, we show that attribute privacy can be achieved from group fairness at no additional cost other than the already existing trade-off with utility. Our work has several implications: i) group fairness acts as a defense against AIAs, which is currently lacking ii) practitioners do not need to explicitly train models for both fairness and privacy to meet regulatory requirements iii) ADAPTAIA can be used for blackbox auditing of group fairness.",,,,,25th International Conference on Web Information Systems Engineering-WISE-Annual25th International Conference on Web Information Systems Engineering-WISE-Annual,"DEC 02-05, 2024DEC 02-05, 2024",,"Doha, QATARDoha, QATAR",0,0,0,0,0,0,0,,,0302-9743,1611-3349,978-981-96-0566-8; 978-981-96-0567-5,,,,,,,,,"Univ Lyon, INSA Lyon, Inria, CITI, Lyon, FranceUniv Waterloo, Waterloo, ON, Canada",,,,2025-08-16,WOS:001534841000024,,
J,"Foalem, Patrick Loic; Silva, Leuson Da; Khomh, Foutse; Li, Heng; Merlo, Ettore",,,,"; Da Silva, Leuson/JCE-1862-2023","Da Silva, Leuson/0000-0002-9086-9038;",,,,,Logging requirement for continuous auditing of responsible machine learning-based applications,,,,,,,,EMPIRICAL SOFTWARE ENGINEERING,,,,30,3,,,,,97,,,10.1007/s10664-025-10656-8,,,,,,,Article,MAY 2025,2025,"Machine learning (ML) is increasingly used across various industries to automate decision-making processes. However, concerns about the ethical and legal compliance of ML models have arisen due to their lack of transparency, fairness, and accountability. Monitoring, particularly through logging, is a widely used technique in traditional software systems that could be leveraged to assist in auditing ML-based applications. Logs provide a record of an application's behavior, which can be used for continuous auditing, debugging, and analyzing both the behavior and performance of the application. In this study, we investigate the logging practices of ML practitioners to capture responsible ML-related information in ML applications. We analyzed 85 ML projects hosted on GitHub, leveraging 20 responsible ML libraries that span principles such as privacy, transparency & explainability, fairness, and security & safety. Our analysis revealed important differences in the implementation of responsible AI principles. For example, out of 5,733 function calls analyzed, privacy accounted for 89.3% (5,120 calls), while fairness represented only 2.1% (118 calls), highlighting the uneven emphasis on these principles across projects. Furthermore, our manual analysis of 44,877 issue discussions revealed that only 8.1% of the sampled issues addressed responsible AI principles, with transparency & explainability being the most frequently discussed principles (32.2% of all issues related to responsible AI principles). Additionally, a survey conducted with ML practitioners provided direct insights into their perspectives, informing our exploration of ways to enhance logging practices for more effective, responsible ML auditing. We discovered that while privacy, model interpretability & explainability, fairness, and security & safety are commonly considered, there is a gap in how metrics associated with these principles are logged. Specifically, crucial fairness metrics like group and individual fairness, privacy metrics such as epsilon and delta, and explainability metrics like SHAP values are not considered current logging practices. The insights from this study highlight the need for ML practitioners and logging tool developers to adopt enhanced logging strategies that incorporate a broader range of responsible AI metrics. This adjustment will facilitate the development of auditable and ethically responsible ML applications, ensuring they meet emerging regulatory and societal expectations. These specific insights offer actionable guidance for improving the accountability and trustworthiness of ML systems.",,,,,,,,,0,0,0,0,0,0,0,,,1382-3256,1573-7616,,,,,,,,,,"Polytech Montreal, Dept Comp Engn & Software Engn, Montreal, PQ, Canada",,,,2025-04-19,WOS:001466425200003,,
J,"Stewart, Matthew; Warden, Pete; Omri, Yasmine; Prakash, Shvetank; Santos, Joao; Hymel, Shawn; Brown, Benjamin; Macarthur, Jim; Jeffries, Nat; Katti, Sachin; Plancher, Brian; Reddi, Vijay Janapa",,,,"Santos, Joao/B-6135-2009; Plancher, Brian/HKW-7966-2023",,,,,,"Datasheets for Machine Learning Sensors: Towards Transparency, Auditability, and Responsibility for Intelligent Sensing",,,,,,,,Arxiv,,,,,,,,,,,3,,arXiv:2306.08848,,,,,,,preprint,Feb 17 2024,2024,"Machine learning (ML) sensors are enabling intelligence at the edge by empowering end-users with greater control over their data. ML sensors offer a new paradigm for sensing that moves the processing and analysis to the device itself rather than relying on the cloud, bringing benefits like lower latency and greater data privacy. The rise of these intelligent edge devices, while revolutionizing areas like the internet of things (IoT) and healthcare, also throws open critical questions about privacy, security, and the opacity of AI decision-making. As ML sensors become more pervasive, it requires judicious governance regarding transparency, accountability, and fairness. To this end, we introduce a standard datasheet template for these ML sensors and discuss and evaluate the design and motivation for each section of the datasheet in detail including: standard dasheet components like the system’s hardware specifications, IoT and AI components like the ML model and dataset attributes, as well as novel components like end-to-end performance metrics, and expanded environmental impact metrics. To provide a case study of the application of our datasheet template, we also designed and developed two examples for ML sensors performing computer vision-based person detection: one an open-source ML sensor designed and developed in-house, and a second commercial ML sensor developed by our industry collaborators. Together, ML sensors and their datasheets provide greater privacy, security, transparency, explainability, auditability, and user-friendliness for ML-enabled embedded systems. We conclude by emphasizing the need for standardization of datasheets across the broader ML community to ensure the responsible use of sensor data.",,,,,,,,,1,0,0,0,0,0,1,,,,,,,,,,,,,,"Harvard Univ, Cambridge, MA 02138, USAStanford Univ, Stanford, CA 94305, USAEdge Impulse, San Jose, CA, USAColumbia Univ, Barnard Coll, New York City, NY 10027, USA",Harvard UnivEdge ImpulseColumbia Univ,,,2024-03-16,PPRN:73385232,,
J,Mark Joseph Bayona,,,,,,,,,,,,,,,,,,World Journal of Advanced Research and Reviews,,,,25,2,,,2011,2057,,,,10.30574/wjarr.2025.25.2.0514,,,,,Feb 2025,,Article,Feb 28 2025,2025,"AI-driven recruitment systems offer improved hiring outcomes and enhanced efficiency, which transform traditional recruitment methods. Public sector implementation of AI systems raises ethical concerns around transparency, fairness, accountability, and data privacy, crucial in the maintenance of public trust. Bias in AI presents risks to equitable hiring, highlighting the need for regular audits and bias-detection tools. The study proposes a framework for ethical considerations to guide just and fair AI-driven recruitment in the Philippine public sector, emphasizing diversity, social equity, and trust in public service. Ethical considerations ensure adherence to societal values and operational efficiency in public sector hiring.The study adopts Descriptive Research Design to describe the sample characteristics and area of interest. Quantitative research techniques analyzed the survey data to identify correlations between ethical considerations and effective implementation of AI-driven recruitment systems in the public sector. A survey questionnaire was used as the primary data-gathering instrument, which was tested for validity and reliability. Respondents of the study are government agency employees and HR professionals, selected by Purposive Sampling Design. Statistical tools used are percentage, frequency, mean, and standard deviation. Pearson Correlation Analysis was used to measure the significant impact of key ethical considerations on the effectiveness of the potential implementation of AI-Driven recruitment systems in the public sector. Multiple Regression Analysis measured which of the key ethical considerations significantly achieve effectiveness in the potential implementation of AI-Driven recruitment systems in the public sector.Bias, transparency, accountability, fairness, and diversity are key ethical considerations in AI-driven recruitment systems in the public sector. Bias, transparency, and diversity were found significant in the effective achievement of AI-driven recruitment systems. Accountability and fairness were not significant in AI recruitment implementation. As diversity in the Philippines is highly pronounced, considerations on bias become essential to ensure support of AI systems for equitable public service delivery. Through bias mitigation, the Philippine government can effectively promote a fair, diverse, and trusted hiring process, vital in the creation of representative and capable workforce serving the best interests of the public. Transparency is crucial for achieving success in AI-driven recruitment implementation in the Philippine public sector, specifically in the promotion of accountability, public trust, and in providing support for legal compliance, fairness, and adaptability, thus creating a robust framework for effective and ethical AI recruitment practices. The significance of transparency in the Philippine public sector lies in ensuring fairness, fostering of trust, and alignment with regulatory and ethical standards, crucial for legitimacy and accountability of the public sector. In the effective implementation of AI-driven recruitment in the public sector, diversity was found as critical factor, contributing to the promotion of social equity, inclusivity, and fairness in hiring practices. Embracing diversity ensures the alignment of diversity with the government’s mandate for the provision of equal employment opportunities and reflection of the country’s diverse linguistic, cultural, and socioeconomic backgrounds. The Philippine public sector has lower perceptions of the direct impact of accountability on effective AI-driven recruitment systems, as they put priority to efficiency, reliance on legal standards, distributed nature of responsibility, and cultural trust, lessening the immediate need for stringent measures of accountability. Accountability is believed to play a supportive rather than a central role in determining the effectiveness of AI-driven recruitment. The perspective was found not to entirely negate accountability, but rather to contextualize the relative impact on practical outcomes of implementation. AI-driven recruitment systems’ technical complexity, involving the opaque nature of machine learning models, limits traditional accountability measures, making it challenging to assign individual accountability for specific recruitment outcomes. Fairness is seen as non-significant to the effective AI-driven recruitment systems in the Philippine public sector, as efficiency, objective data, resource constraints, transparency, accountability, short-term recruitment outcomes, and merit-based selection, can take precedence over considerations of fairness. The perspective is assumed to balance societal and ethical goals for ensuring a holistic approach in public sector hiring. As the public sector considers operational efficiency as the primary measure of success, fairness becomes secondary in the achievement of recruitment objectives.",,,,,,,,,0,0,0,0,0,0,0,,,,2581-9615,,,,,,,,,,,,,,2025-07-10,RC:147072950_S24,,
J,"Arcolezi, Heber H.; Alishahi, Mina; Bendoukha, Adda-Akram; Kaaniche, Nesrine",,,,"Kaaniche, Nesrine/KZU-4792-2024; Arcolezi, Héber/AAV-5099-2020",,,,,,"Fair Play for Individuals, Foul Play for Groups? Auditing Anonymization's Impact on ML Fairness",,,,,,,,Arxiv,,,,,,,,,,,1,,arXiv:2505.07985,,,,,,,preprint,May 12 2025,2025,"Machine learning (ML) algorithms are heavily based on the availability of training data, which, depending on the domain, often includes sensitive information about data providers. This raises critical privacy concerns. Anonymization techniques have emerged as a practical solution to address these issues by generalizing features or suppressing data to make it more difficult to accurately identify individuals. Although recent studies have shown that privacy-enhancing technologies can influence ML predictions across different subgroups, thus affecting fair decision-making, the specific effects of anonymization techniques, such as $k$-anonymity, $ell$-diversity, and $t$-closeness, on ML fairness remain largely unexplored. In this work, we systematically audit the impact of anonymization techniques on ML fairness, evaluating both individual and group fairness. Our quantitative study reveals that anonymization can degrade group fairness metrics by up to four orders of magnitude. Conversely, similarity-based individual fairness metrics tend to improve under stronger anonymization, largely as a result of increased input homogeneity. By analyzing varying levels of anonymization across diverse privacy settings and data distributions, this study provides critical insights into the trade-offs between privacy, fairness, and utility, offering actionable guidelines for responsible AI development. Our code is publicly available at: https://github.com/hharcolezi/anonymity-impact-fairness.",,,,,,,,,1,0,0,0,0,0,1,,,,,,,,,,,,,,"Univ Grenoble Alpes, Inria Ctr, Grenoble, FranceOpen Univ, Heerlen, NetherlandsInst Polytech Paris, Samovar, Telecom SudParis, Paris, France",Open UnivInst Polytech Paris,,,2025-08-07,PPRN:123343275,,
C,"Givens, Alexandra Reeve; Morris, Meredith Ringel",,,Assoc Comp Machinery,,,,,,,"Centering Disability Perspectives in Algorithmic Fairness, Accountability, & Transparency",,,,,,,,"FAT* '20: PROCEEDINGS OF THE 2020 CONFERENCE ON FAIRNESS, ACCOUNTABILITY, AND TRANSPARENCY",,,,,,,,684,684,,,,10.1145/3351095.3375686,,,,,,,Proceedings Paper,2020,2020,,,,,,"ACM Conference on Fairness, Accountability, and Transparency (FAT)ACM Conference on Fairness, Accountability, and Transparency (FAT)","JAN 27-30, 2020JAN 27-30, 2020",Assoc Comp MachineryAssoc Comp Machinery,"Barcelona, SPAINBarcelona, SPAIN",7,0,0,0,0,0,9,,,,,978-1-4503-6936-7,,,,,,,,,"Georgetown Univ, Inst Tech Law & Policy, Washington, DC 20007 USAMicrosoft Res, Redmond, WA USA",,,,2021-03-02,WOS:000620151400083,,
C,"Lycklama, Hidde; Viand, Alexander; Kuchler, Nicolas; Knabenhans, Christian; Hithnawi, Anwar",,,USENIX,,,,,,,Holding Secrets Accountable: Auditing Privacy-Preserving Machine Learning,,,,,,,,"PROCEEDINGS OF THE 33RD USENIX SECURITY SYMPOSIUM, SECURITY 2024",,,,,,,,1975,1992,,,,,,,,,,,Proceedings Paper,2024,2024,"Recent advancements in privacy-preserving machine learning are paving the way to extend the benefits of ML to highly sensitive data that, until now, has been hard to utilize due to privacy concerns and regulatory constraints. Simultaneously, there is a growing emphasis on enhancing the transparency and accountability of ML, including the ability to audit deployments for aspects such as fairness, accuracy and compliance. Although ML auditing and privacy-preserving machine learning have been extensively researched, they have largely been studied in isolation. However, the integration of these two areas is becoming increasingly important. In this work, we introduce Arc, an MPC framework designed for auditing privacy-preserving machine learning. Arc cryptographically ties together the training, inference, and auditing phases to allow robust and private auditing. At the core of our framework is a new protocol for efficiently verifying inputs against succinct commitments. We evaluate the performance of our framework when instantiated with our consistency protocol and compare it to hashing-based and homomorphic-commitment-based approaches, demonstrating that it is up to 104x faster and up to 106x more concise.",,,,,33rd USENIX Security Symposium33rd USENIX Security Symposium,"AUG 14-16, 2024AUG 14-16, 2024",USENIX; Bloomberg Engn; Futurewei Technologies; Google; NSF; TikTok; Ant Res; IBM; Meta; Microsoft; Technol Innovat Inst; Paloalto Network; QualcommUSENIX; Bloomberg Engn; Futurewei Technologies; Google; NSF; TikTok; Ant Res; IBM; Meta; Microsoft; Technol Innovat Inst; Paloalto Network; Qualcomm,"Philadelphia, PAPhiladelphia, PA",0,0,0,0,0,0,0,,,,,978-1-939133-44-1,,,,,,,,,"Swiss Fed Inst Technol, Zurich, SwitzerlandIntel Labs, Hillsboro, OR USAEcole Polytech Fed Lausanne, Lausanne, Switzerland",,,,2025-02-23,WOS:001333860302020,,
J,"Haley, Patricia",,,,,,,,,,,,,,,,,,Health Economics and Management Review,,,,6,2,,,32,49,,,,10.61093/hem.2025.2-03,,,,,Jul 2025,,Article,Jul 02 2025,2025,"This study provides a critical examination of AI-integrated speed and red-light camera systems through the theoretical lenses of Surveillance Capitalism, the Panopticon Model, Social Control Theory, Technological Determinism, and Structural Violence Theory. While artificial intelligent speed safety cameras demonstrate efficacy in reducing traffic violations and fatalities, this research addresses a critical gap in healthcare literature regarding their broader societal and ethical consequences, including algorithmic bias, data governance failures, and privacy violations that directly impact public trust and health equity. The analysis reveals how machine learning and predictive analytics in automated enforcement create disproportionate burdens on marginalized populations through three specific mechanisms: (1) biased algorithmic design that targets low-income neighborhoods more intensively, (2) punitive traffic fine structures that impose greater relative financial hardship on economically disadvantaged families, and (3) opaque implementation practices that limit community understanding and participation. These patterns perpetuate health disparities by increasing chronic stress, economic instability, and barriers to healthcare access among vulnerable populations. This work’s novel contribution lies in applying four foundational health equity principles to AI-powered traffic enforcement: distributive justice (fair allocation of enforcement across communities), procedural justice (transparent and accountable decision-making processes), recognition justice (acknowledgment of community voices and concerns), and capabilities approach (ensuring enforcement practices do not undermine individuals’ fundamental capabilities for health and wellbeing). Additionally, the study examines three core social justice principles: substantive equality (addressing systemic disadvantages rather than treating all violations identically), participatory parity (ensuring affected communities can participate meaningfully in policy decisions), and non-domination (preventing the arbitrary exercise of state power through automated systems). The study advocates for the development of ethical artificial intelligence governance frameworks that incorporate transparent algorithmic auditing, community driven design processes, and robust oversight mechanisms. These evidence-based recommendations support equitable and trustworthy applications of artificial intelligence that advocate for, rather than undermine, population health and social justice in traffic safety initiatives. A novel contribution of this work lies in its exploration of how artificial intelligence powered speed safety cameras intersect with specific health equity principles in distributive justice, procedural justice, and the capabilities approach, as well as core social justice principles, including substantive equality, participatory parity, and nondomination, in the governance of public infrastructure. The analysis applies distributive justice to examine the fair allocation of enforcement across communities, procedural justice to evaluate transparent decision-making processes, and the capabilities approach to assess whether enforcement practices undermine individuals’ fundamental capabilities for health and wellbeing.",,,,,,,,,0,0,0,0,0,0,0,,,,2786-4634,,,,,,,,,,,,,,2025-08-04,RC:157869370_S24,,
B,"Huang, Yangsibo",,,,,,,,,,"Quantifying, Evaluating, and Mitigating Risks in Modern Machine Learning Systems",,,,,,,,,,,,,,,,,,,,,,,,,,,,Dissertation/Thesis,Jan 01 2025,2025,,,,,,,,,,0,0,0,0,0,0,0,,,,,9.79829E+12,,,,,,,,,"Princeton University, Electrical and Computer Engineering, New Jersey, United States",Princeton University,,,,PQDT:160248373,,
C,"Toreini, Ehsan; Mehrnezhad, Maryam; van Moorsel, Aad",,,,"Toreini, Ehsan/HPG-4769-2023","van Moorsel, Aad/0000-0001-7233-6943; Toreini, Ehsan/0000-0002-5172-2957; Mehrnezhad, Maryam/0000-0002-4223-6885","Katsikas, S; Abie, H; Ranise, S; Verderame, L; Cambiaso, E; Ugarelli, R; Praca, I; Li, W; Meng, W; Furnell, S; Katt, B; Pirbhulal, S; Shukla, A; Ianni, M; Preda, MD; Choo, KKR; Correia, MP; Abhishta, A; Sileno, G; Alishahi, M; Kalutarage, H; Yanai, N",,,,Verifiable Fairness: Privacy-preserving Computation of Fairness for Machine Learning Systems,,,,,,,,"COMPUTER SECURITY. ESORICS 2023 INTERNATIONAL WORKSHOPS, CPS4CIP, PT II",,Lecture Notes in Computer Science,,14399,,,,569,584,,,,10.1007/978-3-031-54129-2_34,,,,,,,Proceedings Paper,2024,2024,"Fair machine learning is a thriving and vibrant research topic. In this paper, we propose Fairness as a Service (FaaS), a secure, verifiable and privacy-preserving protocol to computes and verify the fairness of any machine learning (ML) model. In the deisgn of FaaS, the data and outcomes are represented through cryptograms to ensure privacy. Also, zero knowledge proofs guarantee the well-formedness of the cryptograms and underlying data. FaaS is model-agnostic and can support various fairness metrics; hence, it can be used as a service to audit the fairness of any ML model. Our solution requires no trusted third party or private channels for the computation of the fairness metric. The security guarantees and commitments are implemented in a way that every step is securely transparent and verifiable from the start to the end of the process. The cryptograms of all input data are publicly available for everyone, e.g., auditors, social activists and experts, to verify the correctness of the process. We implemented FaaS to investigate performance and demonstrate the successful use of FaaS for a publicly available data set with thousands of entries.",,,,,28th European Symposium on Research in Computer Security (ESORICS)28th European Symposium on Research in Computer Security (ESORICS),"SEP 25-29, 2023SEP 25-29, 2023",,"The Hague, NETHERLANDSThe Hague, NETHERLANDS",0,0,0,0,0,0,0,,,0302-9743,1611-3349,978-3-031-54128-5; 978-3-031-54129-2,,,,,,,,,"Univ Surrey, Guildford, Surrey, EnglandRoyal Holloway Univ London, Egham, Surrey, EnglandUniv Birmingham, Birmingham, W Midlands, England",,,,2024-05-23,WOS:001212380000024,,
B,"Franzese, Olive",,,,,,,,,,Cryptographic Verification of Trustworthy Machine Learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dissertation/Thesis,Jan 01 2024,2024,,,,,,,,,,0,0,0,0,0,0,0,,,,,9.79835E+12,,,,,,,,,"Northwestern University, Computer Science, Illinois, United States",Northwestern University,,,,PQDT:120087463,,
C,"Park, Saerom; Kim, Seongmin; Lim, Yeon-sup",,,ACM,"; Kim, Min/ACN-6827-2022","Kim, Seongmin/0000-0002-8183-0641;",,,,,Fairness Audit of Machine Learning Models with Confidential Computing,,,,,,,,PROCEEDINGS OF THE ACM WEB CONFERENCE 2022 (WWW'22),,,,,,,,3488,3499,,,,10.1145/3485447.3512244,,,,,,,Proceedings Paper,2022,2022,"Algorithmic discrimination is one of the significant concerns in applying machine learning models to a real-world system. Many researchers have focused on developing fair machine learning algorithms without discrimination based on legally protected attributes. However, the existing research has barely explored various security issues that can occur while evaluating model fairness and verifying fair models. In this study, we propose a fairness audit framework that assesses the fairness of ML algorithms while addressing potential security issues such as data privacy, model secrecy, and trustworthiness. To this end, our proposed framework utilizes confidential computing and builds a chain of trust through enclave attestation primitives combined with public scrutiny and state-ofthe-art software-based security techniques, enabling fair ML models to be securely certified and clients to verify a certified one. Our micro-benchmarks on various ML models and real-world datasets show the feasibility of the fairness certification implemented with Intel SGX in practice. In addition, we analyze the impact of data poisoning, which is an additional threat during data collection for fairness auditing. Based on the analysis, we illustrate the theoretical curves of fairness gap and minimal group size and the empirical results of fairness certification on poisoned datasets.",,,,,31st ACM Web Conference (WWW)31st ACM Web Conference (WWW),"APR 25-29, 2022APR 25-29, 2022",Assoc Comp Machinery; ACM SIGWEB; LIRIS; Univ Lyon; Inst Natl Sci Appliquees; Eurecom; Int World Wide Web Conf CommAssoc Comp Machinery; ACM SIGWEB; LIRIS; Univ Lyon; Inst Natl Sci Appliquees; Eurecom; Int World Wide Web Conf Comm,ELECTR NETWORKELECTR NETWORK,13,0,0,0,0,0,15,,,,,978-1-4503-9096-5,,,,,,,,,"Sungshin Womens Univ, Seoul, South Korea",,,,2022-10-27,WOS:000852713003057,,
B,"Dean, Sarah Ankaret Anderson",,,,,,,,,,Reliable Machine Learning in Feedback Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dissertation/Thesis,Jan 01 2021,2021,,,,,,,,,,0,0,0,0,0,0,0,,,,,9.79838E+12,,,,,,,,,"University of California, Berkeley, Electrical Engineering & Computer Sciences, California, United States","University of California, Berkeley",,,,PQDT:87747990,,
J,"Weng, Jiasi; Weng, Jian; Zhang, Jilian; Li, Ming; Zhang, Yue; Luo, Weiqi",,,,,"Zhang, Yue/0000-0002-7786-0231",,,,,DeepChain: Auditable and Privacy-Preserving Deep Learning with Blockchain-Based Incentive,,,,,,,,IEEE TRANSACTIONS ON DEPENDABLE AND SECURE COMPUTING,,,,18,5,,,2438,2455,,,,10.1109/TDSC.2019.2952332,,,,,,,Article,SEPT 1 2021,2021,"Deep learning can achieve higher accuracy than traditional machine learning algorithms in a variety of machine learning tasks. Recently, privacy-preserving deep learning has drawn tremendous attention from information security community, in which neither training data nor the training model is expected to be exposed. Federated learning is a popular learning mechanism, where multiple parties upload local gradients to a server and the server updates model parameters with the collected gradients. However, there are many security problems neglected in federated learning, for example, the participants may behave incorrectly in gradient collecting or parameter updating, and the server may be malicious as well. In this article, we present a distributed, secure, and fair deep learning framework named DeepChain to solve these problems. DeepChain provides a value-driven incentive mechanism based on Blockchain to force the participants to behave correctly. Meanwhile, DeepChain guarantees data privacy for each participant and provides auditability for the whole training process. We implement a prototype of DeepChain and conduct experiments on a real dataset for different settings, and the results show that our DeepChain is promising.",,,,,,,,,389,39,0,0,7,0,441,,,1545-5971,1941-0018,,,,,,,,,,"Jinan Univ, Coll Informat Sci & Technol, Guangzhou 510632, Peoples R ChinaGuangdong Guangzhou Key Lab Data Secur & Privacy, Guangzhou 510632, Peoples R ChinaNatl Local Joint Engn Res Ctr Cyber Secur Detect, Guangzhou 510632, Peoples R China",Guangdong Guangzhou Key Lab Data Secur & PrivacyNatl Local Joint Engn Res Ctr Cyber Secur Detect,,,2021-09-09,WOS:000690440600028,,
J,"Li, Yueqi; Goel, Sanjay",,,,,,,,,,Artificial intelligence auditability and auditor readiness for auditing artificial intelligence systems,,,,,,,,INTERNATIONAL JOURNAL OF ACCOUNTING INFORMATION SYSTEMS,,,,56,,,,,,100739,,,10.1016/j.accinf.2025.100739,,,,,JAN 2025,,Article,DEC 2025,2025,"As the business community races to implement artificial intelligence (AI), there are several challenges that need to be addressed such as fairness and biases, transparency, denial of individual rights, and dilution of privacy. AI audits are expected to ensure that AI systems function lawfully, robustly, and follow ethical standards (e.g., fairness). While the auditability for financial audits and information system audits has been well addressed in the literature, auditability of AI systems has not been sufficiently addressed. AI auditability and auditors' competencies are crucial for ensuring AI audits are conducted with high quality. Research on the auditability of AI and the competencies of AI auditors is gravely lacking leaving risks in AI systems unmitigated. The primary reason is that the field is nascent and the rapid growth has left the audit profession struggling to catch up. Foundational work on establishing parameters for such research would help advance this research. In this paper, we explore AI auditability measures and competencies required for conducting AI audits. We conducted semi-structured interviews with 23 experienced AI professionals who have direct involvement or indirect exposure to AI audits. Based on our findings, we propose a framework of AI auditability and identify the competencies required to conduct AI audits. Our study serves as the first formal attempt to systematically identify and classify auditability measures and auditors' expertise demanded for AI audits based on practitioners' perspectives. Our findings contribute to the AI audit literature, inform AI developers about implementing auditability, guide the training of new AI auditors, and establish a foundation for further research in the field.",,,,,,,,,4,0,0,0,0,0,5,,,1467-0895,1873-4723,,,,,,,,,,"Skidmore Coll, Management & Business Dept, 815 N Broadway, Saratoga Springs, NY 12866 USASUNY Albany, Sch Business, Dept Informat Secur & Digital Forens, 1400 Washington Ave, Albany, NY 12222 USA",,,,2025-02-20,WOS:001416804600001,,
J,"Ferry, Julien; Aivodji, Ulrich; Gambs, Sebastien; Huguet, Marie-Jose; Siala, Mohamed",,,,,,,,,,"Taming the Triangle: On the Interplays Between Fairness, Interpretability, and Privacy in Machine Learning",,,,,,,,COMPUTATIONAL INTELLIGENCE,,,,41,4,,,,,e70113,,,10.1111/coin.70113,,,,,,,Article,AUG 6 2025,2025,"Machine learning techniques are increasingly used for high-stakes decision-making, such as college admissions, loan attribution, or recidivism prediction. Thus, it is crucial to ensure that the models learnt can be audited or understood by human users, do not create or reproduce discrimination or bias and do not leak sensitive information regarding their training data. Indeed, interpretability, fairness, and privacy are key requirements for the development of responsible machine learning, and all three have been studied extensively during the last decade. However, they were mainly considered in isolation, while in practice they interplay with each other, either positively or negatively. In this survey paper, we review the literature on the interactions between these three desiderata. More precisely, for each pairwise interaction, we summarize the identified synergies and tensions. These findings highlight several fundamental theoretical and empirical conflicts, while also demonstrating that jointly considering these different requirements is challenging when one aims at preserving a high level of utility. To solve this issue, we also discuss possible conciliation mechanisms, showing that a careful design can enable to successfully handle these different concerns in practice.",,,,,,,,,1,0,0,0,0,0,1,,,0824-7935,1467-8640,,,,,,,,,,"Polytech Montreal, CIRRELT & SCALE AI Chair Data Driven Supply Chains, Dept Math & Ind Engn, Montreal, PQ, CanadaEcole Technol Super, Montreal, PQ, CanadaUniv Quebec Montreal, Montreal, PQ, CanadaUniv Toulouse, CNRS, LAAS CNRS, INSA, Toulouse, France",,,,2025-08-10,WOS:001544676800001,,
