"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"DeepChain: Auditable and Privacy-Preserving Deep Learning with Blockchain-Based Incentive","J. Weng; J. Weng; J. Zhang; M. Li; Y. Zhang; W. Luo","Guangdong/Guangzhou Key Laboratory of Data Security and Privacy Preserving, and National-Local Joint Engineering Research Center of Cyber Security Detection and Protection Technology, College of Information Science and Technology, Jinan University, Guangzhou, China; Guangdong/Guangzhou Key Laboratory of Data Security and Privacy Preserving, and National-Local Joint Engineering Research Center of Cyber Security Detection and Protection Technology, College of Information Science and Technology, Jinan University, Guangzhou, China; Guangdong/Guangzhou Key Laboratory of Data Security and Privacy Preserving, and National-Local Joint Engineering Research Center of Cyber Security Detection and Protection Technology, College of Information Science and Technology, Jinan University, Guangzhou, China; Guangdong/Guangzhou Key Laboratory of Data Security and Privacy Preserving, and National-Local Joint Engineering Research Center of Cyber Security Detection and Protection Technology, College of Information Science and Technology, Jinan University, Guangzhou, China; Guangdong/Guangzhou Key Laboratory of Data Security and Privacy Preserving, and National-Local Joint Engineering Research Center of Cyber Security Detection and Protection Technology, College of Information Science and Technology, Jinan University, Guangzhou, China; Guangdong/Guangzhou Key Laboratory of Data Security and Privacy Preserving, and National-Local Joint Engineering Research Center of Cyber Security Detection and Protection Technology, College of Information Science and Technology, Jinan University, Guangzhou, China",IEEE Transactions on Dependable and Secure Computing,"27 Aug 2021","2021","18","5","2438","2455","Deep learning can achieve higher accuracy than traditional machine learning algorithms in a variety of machine learning tasks. Recently, privacy-preserving deep learning has drawn tremendous attention from information security community, in which neither training data nor the training model is expected to be exposed. Federated learning is a popular learning mechanism, where multiple parties upload local gradients to a server and the server updates model parameters with the collected gradients. However, there are many security problems neglected in federated learning, for example, the participants may behave incorrectly in gradient collecting or parameter updating, and the server may be malicious as well. In this article, we present a distributed, secure, and fair deep learning framework named DeepChain to solve these problems. DeepChain provides a value-driven incentive mechanism based on Blockchain to force the participants to behave correctly. Meanwhile, DeepChain guarantees data privacy for each participant and provides auditability for the whole training process. We implement a prototype of DeepChain and conduct experiments on a real dataset for different settings, and the results show that our DeepChain is promising.","1941-0018","","10.1109/TDSC.2019.2952332","National Natural Science Foundation of China(grant numbers:61825203,U1736203,61732021); Guangdong Provincial Special Funds for Applied Technology Research and Development and Transformation of Key Scientific and Technological Achievements(grant numbers:2016B010124009); Science and Technology Program of Guangzhou of China(grant numbers:201802010061); Guangdong Provincial Basic and Applied Research Major Programme(grant numbers:2019B030302008); National Key Research and Development Program of China(grant numbers:2018YFB1402600); National Key Research and Development Program of China(grant numbers:2018YFB1003701); National Natural Science Foundation of China(grant numbers:61972177); Communication and Computer Network Lab of Guangdong(grant numbers:CCNL201903); National Key Research and Development Program of China(grant numbers:2017YFB0802203); Jinan University; National Natural Science Foundation of China(grant numbers:61872153); National Natural Science Foundation of China(grant numbers:61877029); Applied Technology Research and Development and Transformation of Key Scientific and Technological Achievements(grant numbers:2017B010124002); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8894364","Deep learning;privacy-preserving training;blockchain;incentive","Deep learning;Training;Servers;Blockchain;Collaboration;Training data;Data models","","352","","73","IEEE","8 Nov 2019","","","IEEE","IEEE Journals"
"Using AI and IoT to Promote Intra-Party Democracy for Indian Electoral Reforms: Emerging Issues","S. Kumar; P. Kumar; A. Kumar; M. Sharma; A. Anand; V. R. Malik","College of Law, IIMT University, Meerut, U.P; College of Law, IIMT University, Meerut, U.P; College of Law, IIMT University, Meerut, U.P; College of Law, IIMT University, Meerut, U.P; College of Law, IIMT University, Meerut, U.P; College of Law, IIMT University, Meerut, U.P",2024 15th International Conference on Computing Communication and Networking Technologies (ICCCNT),"4 Nov 2024","2024","","","1","6","The convergence of artificial intelligence (AI) and the Internet of Things (IoT) opens transformative opportunities for the furtherance of intra-party democracy and electoral reforms in India. This paper delves into the developing problems and issues that are experienced with such convergence. The paper discusses the potential of ICT tools in bringing transparency and accountability into the electoral system as a mitigating way of issues like criminal and money politics. Core issues of the Indian electoral system that very much need to be given serious attention relate to problems like muscle power, money power, criminalization, misuse of government machinery, and casteism. It needs to address these prime importances in reforming the electoral landscape to ensure free and fair elections. It also underscores how electoral reforms can bring changes to the criminal, corrupt, and monetary influence on politics for strengthening democratic values in India. These will involve a critical examination of the electoral system and make the election process more inclusive for representative democracy of the diverse Indian populace.","2473-7674","979-8-3503-7024-9","10.1109/ICCCNT61001.2024.10725468","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10725468","Artificial Intelligence (AI);Internet of Things (IoT);Intra-party democracy;Electoral reforms;Electronic Voting Machines (EVM);Voter Verifiable Paper Audit Trail (VVPAT);Biometric authentication","Privacy;Voting;Machine learning;Muscles;Real-time systems;Internet of Things;Security;Artificial intelligence;Machinery;Convergence","","","","20","IEEE","4 Nov 2024","","","IEEE","IEEE Conferences"
"An Auditing Framework for Analyzing Fairness of Spatial-Temporal Federated Learning Applications","A. Mashhadi; A. Tabaraei; Y. Zhan; R. M. Parizi","Computing and Software Systems, University of Washington, Bothell, WA, USA; Computer and Information Technology Department, Sadjad University of Technology, Mashhad, Iran; Department of Engineering, Imperial College London, London, England; College of Computing and Software Engineering, Kennesaw State University, GA, USA",2022 IEEE World AI IoT Congress (AIIoT),"13 Jul 2022","2022","","","699","707","Federated learning enables remote devices such as smartphones to train statistical models while ensuring that data remains private and secure. Performing privacy-preserving data analysis becomes increasingly crucial as our model is potentially being trained within heterogeneous and massive networks. While federated learning offers the potential to boost diversity in many existing models through on-device learning and enabling a wider range of users to participate, developing fair federated learning models is a challenging task. Throughout this paper, we propose a fairness auditing system for FL models that rely on spatial-temporal data. Borrowing tenets from mobility literature, we propose a set of metrics to define individual fairness using spatial-temporal data. We also introduce a set of approaches for measuring these metrics in distributed settings, as well as building a framework that can monitor the fairness of FL models dynamically.","","978-1-6654-8453-4","10.1109/AIIoT54504.2022.9817283","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9817283","Federated learning;Fairness;Auditing;Spatial-temporal data","Performance evaluation;Analytical models;Data analysis;Buildings;Collaborative work;Data models;Task analysis","","","","50","IEEE","13 Jul 2022","","","IEEE","IEEE Conferences"
"Ensuring Ethical Use of AI in Project Management","D. Stanton",Bradley University; University of Arkansas; Cranfield University,Project Management with AI For Dummies,"","2025","","","197","211","Summary <p>This chapter explores the key ethical considerations project managers must address when using AI, including understanding AI ethics, promoting fairness and transparency in AI‐driven decisions, and navigating ethical dilemmas in AI‐powered projects. AI has the power to significantly influence decision‐making processes within projects, from resource allocation to hiring decisions. Therefore, it's critical for project managers to ensure that AI is used ethically, with a strong emphasis on fairness, privacy, and accountability. Tools like Fiddler AI help project managers audit AI systems for fairness by continuously monitoring AI‐driven decisions, detecting biased patterns, and providing insights into how AI models reach their conclusions. One effective way to ensure fairness and transparency in AI‐driven decisions is to involve stakeholders in the decision‐making process. Transparency in AI ensures that the decision‐making process is clear and understandable to all stakeholders.</p>","","9781394320868","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10964473.pdf&bkn=10964418&pdfType=chapter","","Artificial intelligence;Ethics;Project management;Stakeholders;Privacy;Guidelines;Decision making;Monitoring;Security;Global Positioning System","","","","","","14 Apr 2025","","","Wiley","Wiley AI eBook Chapters"
"Ethical Considerations in Artificial Intelligence (AI) Applications in Smart Grid","K. Hayawi; S. Shahriar; A. R. Al-Ali","College of Interdisciplinary Studies, Zayed University, Abu Dhabi, United Arab Emirates; School of Computer Science, University of Guelph, Guelph, Ontario, Canada; Department of Computer Science and Engineering, American University of Sharjah, Sharjah, United Arab Emirates","2025 7th International Youth Conference on Radio Electronics, Electrical and Power Engineering (REEPE)","30 Apr 2025","2025","","","1","6","The rapid development of artificial intelligence (AI) tools, particularly advanced systems like large language models and creative AI programs, has raised urgent questions about how we should ethically develop and manage these technologies. As the global adoption of smart grid and digital power infrastructure accelerates, the role of AI becomes increasingly significant in optimizing operations like forecasting, maintenance, and energy distribution. Despite several works in the literature relating to ethical AI in domains like medicine and agriculture, a framework and recommendation are missing from the power grid lens. This study introduces a framework of ethical principles tailored to the smart grid context. Through this framework, we identify key methods and strategies, present case studies, and discuss challenges associated with ethical AI implementation in smart grids. Our research reveals a constant tug-of-war: while AI can revolutionize how grids operate; we can't ignore the risks of prioritizing efficiency over fairness. We also discuss significant challenges and outline future research directions for ethical AI use in power grid systems.","2831-7262","979-8-3315-3183-6","10.1109/REEPE63962.2025.10971096","American University of Sharjah; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10971096","Ethical AI;smart grids;trustworthy AI;power systems;responsible artificial intelligence","Ethics;Privacy;Refining;Smart grids;Safety;Stakeholders;Resource management;Artificial intelligence;Standards;Testing","","1","","41","IEEE","30 Apr 2025","","","IEEE","IEEE Conferences"
"Ethical AI: Towards Defining a Collective Evaluation Framework","A. K. Sharma; D. Kyosev; J. Kunkel","Mathematics and Computer Science, Georg-August-Universität Göttingen, Göttingen, Germany; Legal Affairs, Alis Grave Nil Private Limited, Burgas, Bulgaria; Mathematics and Computer Science, Georg-August-Universität Göttingen, Göttingen, Germany","2025 IEEE 49th Annual Computers, Software, and Applications Conference (COMPSAC)","26 Aug 2025","2025","","","1665","1670","Artificial Intelligence (AI) is transforming sectors such as healthcare, finance, and autonomous systems, offering powerful tools for innovation. Yet its rapid integration raises urgent ethical concerns related to data ownership, privacy, and systemic bias. Issues like opaque decision-making, misleading outputs, and unfair treatment in high-stakes domains underscore the need for transparent and accountable AI systems.This article addresses these challenges by proposing a modular ethical assessment framework built on ontological blocks of meaning—discrete, interpretable units that encode ethical principles such as fairness, accountability, and ownership. By integrating these blocks with FAIR (Findable, Accessible, Interoperable, Reusable) principles, the framework supports scalable, transparent, and legally aligned ethical evaluations, including compliance with the EU AI Act.Using a real-world use case in AI-powered investor profiling, the paper demonstrates how the framework enables dynamic, behavior-informed risk classification. The findings suggest that ontological blocks offer a promising path toward explainable and auditable AI ethics, though challenges remain in automation and probabilistic reasoning.","2836-3795","979-8-3315-7434-5","10.1109/COMPSAC65507.2025.00344","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11126684","Responsible AI;Ethical AI;Machine Ethics;AI Acts;Explainability;Ontology;Workflows;Transparency","Ethics;Technological innovation;Machine ethics;Decision making;Finance;Medical services;Ontologies;Probabilistic logic;Software;Artificial intelligence","","","","41","CCBY","26 Aug 2025","","","IEEE","IEEE Conferences"
"Revolutionizing Talent Acquisition in Human Resources with Advanced Deep Learning-Based Resume Screening and Candidate Matching Algorithms","D. G. V; T. Erkinjon; L. H. Alzubaidi; K. Vijayakumar; K. R. Singh; A. K. Rahuman","Department of Mechanical Engineering, Saveetha School of Engineering, Saveetha Institute of Medical and Technical Sciences- (SIMATS), Chennai, India; Department of Audit, Tashkent State University of Economics, Tashkent, Republic of Uzbekistan; Department of Computer Techniques Engineering, College of technical engineering, The Islamic University, Najaf, Iraq; Flextronics Technologies India Pvt.Ltd.; Department of Computer Science, Karpagam Academy of Higher Education, Coimbatore, India; Department of Electronics and Communication Engineering, PSNA College of Engineering and Technology, India",2025 International Conference on Automation and Computation (AUTOCOM),"16 Apr 2025","2025","","","1289","1293","In general, this paper outlines a research agenda to transform the approach to talent management in HR using deep learning strategies for enhanced resume analysis and candidate matching. The above work proposed and developed a system that exploits the most advanced tools of natural language processing, and recent advances in neural networks to correctly parse resumes and the candidates to jobs descriptions. The system deals with the issues of unstructured resume data, the efficient extraction of the required data, and assessment of the candidate on his/her fitness in the given company in terms of his/her technical competencies and compatibility with the company's work culture. Substantial real life data analysis presented in the paper proves high efficiency and equity of the applications. This research also incorporates the ethical questions as well as the ways of dealing with data privacy regulations and the biases in the historical data by applying the explainable AI methods. A questionnaire to the users of the system, which are the HR professionals further verifies the real-world application and usability of the system based on concepts such as ease of use, precision and time economy. In conclusion, the study adds knowledge to the process of establishing ethical and optimal AI implementations in the field of HRM and results in the improvement of talent recruitment strategies and practices promoting fair hiring decisions.","","979-8-3315-4237-5","10.1109/AUTOCOM64127.2025.10957186","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10957186","Deep learning;resume screening;candidate matching;natural language processing;HR;talent acquisition;neural networks","Deep learning;Surveys;Ethics;Explainable AI;Resumes;Neural networks;Companies;Transforms;Natural language processing;Usability","","","","17","IEEE","16 Apr 2025","","","IEEE","IEEE Conferences"
"Fortifying Federated Learning Towards Trustworthiness via Auditable Data Valuation and Verifiable Client Contribution","K. N. Kumar; R. R. Jha; C. K. Mohan; R. B. Tallamraju","IIT Hyderabad, India; IIT Patna, India; IIT Hyderabad, India; Sahaj AI Software Pvt Ltd., India",2025 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),"13 Aug 2025","2025","","","4999","5009","Ensuring auditability and verifiability in Federated Learning (FL) is both challenging and essential to guarantee that local data remains untampered and client updates are trustworthy. Recent FL frameworks assess client contributions through a trusted central server using various client selection and aggregation techniques. However, reliance on a central server can create a single point of failure, making it vulnerable to privacy-centric attacks and limiting its ability to audit and verify client-side data contributions due to restricted access. In addition, data quality and fairness evaluations are often inadequate, failing to distinguish between high-impact contributions and those from low-quality or poisoned data. To address these challenges, we propose Federated Auditable and Verifiable Data valuation (FAVD), a privacy-preserving method that ensures auditability and verifiability of client contributions through data valuation, independent of any central authority or predefined training algorithm. FAVD utilizes shared local data density functions to construct a global density function, aligning data contributions and facilitating effective valuation prior to local model training. This proactive approach improves transparency in data valuation and ensures that only benign updates are generated, even in the presence of malicious data. Further, to mitigate privacy risks associated with sharing data density functions, we add Gaussian noise to each client’s local density function before sharing it with the server. We theoretically demonstrate the convergence, auditability, and verifiability of FAVD, along with its resilience against data poisoning threats. Our experiments on five diverse benchmarks, including three medical datasets, show that FAVD achieves significant performance gains, accurate data valuation, and fair client contributions under threat, highlighting its reliability as a trustworthy FL approach.","2575-7075","979-8-3315-4364-8","10.1109/CVPR52734.2025.00471","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11093960","federated learning;data valuation;auditability;verifiability;data poisoning threat","Training;Data privacy;Federated learning;Gaussian noise;Density functional theory;Servers;Security;Cost accounting;Resilience;Convergence","","","","60","IEEE","13 Aug 2025","","","IEEE","IEEE Conferences"
"Strategies and Consequences of AI-Enhanced Predictive Models for Early Identification of Students at Risk","Rosdiana; E. Sunandar; A. Purnama; A. H. Arribathi; D. A. Yusuf; O. P. M. Daeli","Master of Information Technology, University of Raharja, Tangerang, Indonesia; Master of Information System, University of Raharja, Tangerang, Indonesia; Department of Information Technology, Bina Bangsa University, Tangerang, Indonesia; Master of Management, University of Raharja, Tangerang, Indonesia; Department of Information Technology, Bosindo, Tangerang, Indonesia; Department of Digital Business, UR Mart, Tangerang, Indonesia",2024 3rd International Conference on Creative Communication and Innovative Technology (ICCIT),"8 Oct 2024","2024","","","1","6","This research proposes using predictive models supported by artificial intelligence (AI) to identify potential risks faced by students early. Leveraging AI’s data analysis and machine learning capabilities, the study aims to detect students at risk of academic and social challenges before they escalate. Integrating AI techniques helps uncover complex data patterns often missed by conventional methods. The evaluation and implementation results of this model can guide educational institutions in optimizing more targeted and timely interventions. While AI holds great potential for improving early detection and intervention for at-risk students, its application raises important considerations. The use of student personal data in predictive models requires strict privacy protection and transparency in data usage and analysis. Additionally, potential biases in AI models necessitate a thorough understanding of their development to prevent exacerbating existing disparities or discrimination in the education system. This study underscores the need for comprehensive policy frameworks and clear ethical guidelines when implementing AI in educational settings. By upholding values of inclusion, fairness, and responsibility, AI predictive models can effectively support students’ holistic development.","","979-8-3503-6749-2","10.1109/ICCIT62134.2024.10701122","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10701122","AI predictive models;Early detection;At-risk students;Artificial Intelligence (AI);Ethical implications","Access control;Privacy;Data protection;Machine learning;Predictive models;Regulation;Encryption;Artificial intelligence;Protection;Information integrity","","3","","40","IEEE","8 Oct 2024","","","IEEE","IEEE Conferences"
"Ethical Considerations in the Development and Deployment of Large Language Models","M. A. Khaldy; Y. Gheraibia","Department of Business Intelligence and Data Analytics, University of Petra, Amman, Jordan; School of Computer Science and Informatics, De Montfort University, Leicester, UK",2025 1st International Conference on Computational Intelligence Approaches and Applications (ICCIAA),"2 Jun 2025","2025","","","1","6","Large Language Models (LLMs) have emerged as a powerful tool with the potential to revolutionize various industries and aspects of human life. However, their rapid development and deployment raise significant ethical concerns. This paper delves into the key ethical considerations that must be addressed to ensure the responsible and beneficial use of LLMs. We explore issues such as bias and fairness, privacy and security, transparency and accountability, and the potential for misuse. Addressing bias requires careful data curation, algorithmic fairness techniques, and regular audits. Protecting privacy necessitates strong data privacy and security measures, as well as robust security protocols. To enhance transparency, developing techniques to interpret and explain LLM outputs is crucial. Mitigating the potential for misuse involves developing tools to detect and filter harmful content, implementing responsible AI practices, and fostering a proactive approach to addressing societal implications. By examining these challenges, we aim to foster a thoughtful and ethical approach to LLM development and deployment. A collaborative effort between researchers, developers, policymakers, and the public is essential to ensure that LLMs are used responsibly and ethically.","","979-8-3315-2365-7","10.1109/ICCIAA65327.2025.11013722","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11013722","LLM;Misinformation;Societal Impacts;Privacy Concerns;Ethics Integration","Hands;Ethics;Technological innovation;Privacy;Data privacy;Reviews;Large language models;Psychology;Security;Stakeholders","","","","17","IEEE","2 Jun 2025","","","IEEE","IEEE Conferences"
"From Transaction to Transformation: AI and Machine Learning in FinTech","Y. Al Ahmed; A. Osman; A. H. Ahmed; D. Omar Salem; Y. Al Ahmad","Faculty of Engineering, Al Ain University, Abu Dhabi, UAE; Faculty of Engineering, Al Ain University, Abu Dhabi, UAE; Faculty of Engineering, Al Ain University, Abu Dhabi, UAE; School of Business, University of Central Lancashire, Preston, UK; Yarmouck University, Irbid, Jordan",2025 5th Intelligent Cybersecurity Conference (ICSC),"2 Sep 2025","2025","","","187","196","Artificial Intelligence technology and Machine Learning operate in FinTech industries by automating processes while giving complete risk assessments, plus private customized solutions. This research studies how AI and ML technology support modern FinTech business functions, specifically fraud prevention, business credit rating, automated investment advice, and automatic market trades. The research conducts the empirical evaluation of Large Language Model integration within Zero Trust security structures by using adversarial testing together with case studies and explainability assessment methods. Research indicates that LLMs improve threat detection performance by 21% and traditional systems yet they fail in 38% of cases when prompt injection happens. The study highlights the need for adversarial training combined with fairness auditing and regulatory oversight in order to establish AI deployment safety in cybersecurity. The research pairs contemporary studies with specific examples to uncover AI and ML's main advantages of better results, less manual work, and better services for customers. This study researches both data protection risks and official rules while looking at the weaknesses of programmed systems. Through research the paper determines how applications based on AI machine learning propel financial services toward automated systems that adjust their behavior for optimal results. The analysis generates new ideas to develop FinTech innovation models and provides useful directions for business creators plus oversight agencies plus financial establishments. This study brings a new method to view AI/ML integration while showing the need to align ethical and legal rules in future FinTech systems.","","979-8-3503-9292-0","10.1109/ICSC65596.2025.11140522","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11140522","FinTech;AI;ML;Fraud Detection;Loan Prediction;Customer Segmentation","Training;Ethics;Fintech;Computational modeling;Threat assessment;Fraud;Zero Trust;Artificial intelligence;Computer security;Business","","","","23","IEEE","2 Sep 2025","","","IEEE","IEEE Conferences"
"Trustworthy AI: A Fuzzy-Multiple Method for Evaluating Ethical Principles in AI Regulations","O. Adamyk; O. Chereshnyuk; B. Adamyk; S. Rylieiev","Loughborough Business School, Loughborough University, Loughborough, United Kingdom; Department of Financial Control and Audit, West Ukrainian National University, Ternopil, Ukraine; Aston Business School, Aston University, Birmingham, United Kingdom; Department of Finance, Accounting and Taxation Chernivtsi Institute of Trade and Economics of the State University of Trade and Economics, Chernivtsi, Ukraine",2023 13th International Conference on Advanced Computer Information Technologies (ACIT),"17 Oct 2023","2023","","","608","613","In this study, we investigated the ethical principles of trustworthy AI and differentiated five prime factors essential for developing trust in AI and most widely presented in regulatory guidelines worldwide. By utilizing Fuzzy Logic Toolbox in MATLAB 9.4, we evaluated the impact of primary ethical principles on trustworthy AI systems in a systematic and structured manner. We discovered that the principle of Fairness and Non-discrimination is the most influential for the development of trustworthy AI, as it is the most represented in the regulatory guidelines. The proposed model offers two main benefits for developers and deployers of AI systems, including predicting the potential public trust in AI systems and assessment compliance with the regulatory frameworks. To ensure the continued trustworthiness of AI systems, the model should be used at all stages of the software life circle, including during development, before placing the system on the market, and at the stage of use to monitor compliance with the safeguards declared to users.","2770-5226","979-8-3503-1167-9","10.1109/ACIT58437.2023.10275505","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10275505","artificial intelligence;regulation;trustworthy AI;ethical principles of AI;trust","Ethics;Systematics;Profitability;Government;Predictive models;Mathematical models;Regulation","","1","","16","IEEE","17 Oct 2023","","","IEEE","IEEE Conferences"
"Exploring Privacy and Fairness Risks in Sharing Diffusion Models: An Adversarial Perspective","X. Luo; Y. Jiang; F. Wei; Y. Wu; X. Xiao; B. C. Ooi","School of Computing, National University of Singapore, Cluny Road, Singapore; School of Computing, National University of Singapore, Cluny Road, Singapore; Alibaba Group, Hangzhou, China; School of Computing, National University of Singapore, Cluny Road, Singapore; School of Computing, National University of Singapore, Cluny Road, Singapore; School of Computing, National University of Singapore, Cluny Road, Singapore",IEEE Transactions on Information Forensics and Security,"12 Sep 2024","2024","19","","8109","8124","Diffusion models have recently gained significant attention in both academia and industry due to their impressive generative performance in terms of both sampling quality and distribution coverage. Accordingly, proposals are made for sharing pre-trained diffusion models across different organizations, as a way of improving data utilization while enhancing privacy protection by avoiding sharing private data directly. However, the potential risks associated with such an approach have not been comprehensively examined. In this paper, we take an adversarial perspective to investigate the potential privacy and fairness risks associated with the sharing of diffusion models. Specifically, we investigate the circumstances in which one party (the sharer) trains a diffusion model using private data and provides another party (the receiver) black-box access to the pre-trained model for downstream tasks. We demonstrate that the sharer can execute fairness poisoning attacks to undermine the receiver’s downstream models by manipulating the training data distribution of the diffusion model. Meanwhile, the receiver can perform property inference attacks to reveal the distribution of sensitive features in the sharer’s dataset. Our experiments conducted on real-world datasets demonstrate remarkable attack performance on different types of diffusion models, which highlights the critical importance of robust data auditing and privacy protection protocols in pertinent applications.","1556-6021","","10.1109/TIFS.2024.3453555","National Research Foundation, Singapore, under its AI Singapore Program (AISG)(grant numbers:AISG3-RP-2022-029); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10663440","Diffusion model;property inference;fairness poisoning","Diffusion models;Data models;Receivers;Accuracy;Training;Noise;Mathematical models","","4","","67","IEEE","2 Sep 2024","","","IEEE","IEEE Journals"
"Ethical Decision‐Making in GenAI Cybersecurity","M. R. Islam","Geroge Mason Univeristy, Fairfax, Virginia, United States","Generative AI, Cybersecurity, and Ethics","","2025","","","225","254","Summary <p>Chapter 9 explores the ethical decision‐making processes essential for integrating generative artificial intelligence (GenAI) into cybersecurity. It addresses the ethical challenges that arise at the intersection of advanced artificial intelligence (AI) technologies and cybersecurity, emphasizing privacy, data integrity, and security. The chapter outlines specific ethical dilemmas, provides practical approaches for ethical decision‐making, and highlights key principles and frameworks to ensure responsible AI deployment. Through case studies, it explores real‐world applications and the complexities involved in balancing technological advancements with ethical imperatives, ultimately advocating for a collaborative approach to foster trust and uphold societal values.</p>","","9781394279319","10.1002/9781394279326.ch9","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10897094.pdf&bkn=10896969&pdfType=chapter","","Ethics;Computer security;Privacy;Law;Government;Standards organizations;General Data Protection Regulation;Cyber espionage;Transforms;Testing","","","","","","20 Feb 2025","","","Wiley","Wiley Data and Cybersecurity eBook Chapters"
"Cybersecurity: Understanding the Digital Fortress","M. R. Islam","Geroge Mason Univeristy, Fairfax, Virginia, United States","Generative AI, Cybersecurity, and Ethics","","2025","","","17","46","Summary <p>Cybersecurity is vital in safeguarding computers, networks, programs, and data against unauthorized access and damage. As digital systems become increasingly integral to modern life, cybersecurity ensures the protection of sensitive information and maintains operational continuity. This chapter explores the fundamental types of cybersecurity, including network security, application security, information security, and operational security. It dives into the significant financial impact of cybercrime globally and regionally, highlighting the unique challenges faced by different industries such as financial services, health care, government, e‐commerce, and critical infrastructure. The chapter also examines the role of artificial intelligence (AI) and generative AI (GenAI) in enhancing cybersecurity measures, addressing ethical considerations, and navigating the global regulatory landscape to fortify digital defenses.</p>","","9781394279319","10.1002/9781394279326.ch2","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10897112.pdf&bkn=10896969&pdfType=chapter","","Security;Firewalls (computing);Computer crime;Training;Structured Query Language;Encryption;Regulation;Personnel;Network security;NIST","","","","","","20 Feb 2025","","","Wiley","Wiley Data and Cybersecurity eBook Chapters"
"Accountability for GenAI for Cybersecurity","M. R. Islam","Geroge Mason Univeristy, Fairfax, Virginia, United States","Generative AI, Cybersecurity, and Ethics","","2025","","","203","224","Summary <p>Chapter 8 examines accountability in the realm of generative artificial intelligence (GenAI) within cybersecurity, emphasizing the need for a clear delineation of responsibility for artificial intelligence (AI) system actions, decisions, and outcomes. The chapter explores the importance of human oversight, legal implications, and the challenges of assigning liability in AI‐driven environments. It discusses the role of governance structures, ethical guidelines, and regulatory frameworks in ensuring accountability. Through case studies and emerging technologies like blockchain and federated learning, the chapter provides insights into balancing innovation with accountability. The conclusion highlights the collective responsibility of stakeholders to advance GenAI technologies ethically and securely.</p>","","9781394279319","10.1002/9781394279326.ch8","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10897119.pdf&bkn=10896969&pdfType=chapter","","Ethics;Artificial intelligence;Computer security;Decision making;Stakeholders;Data breach;Computer crime;Companies;Biological system modeling;Training","","","","","","20 Feb 2025","","","Wiley","Wiley Data and Cybersecurity eBook Chapters"
"Ethical Design and Development","M. R. Islam","Geroge Mason Univeristy, Fairfax, Virginia, United States","Generative AI, Cybersecurity, and Ethics","","2025","","","163","178","Summary <p>As generative artificial intelligence (GenAI) increasingly integrates into various aspects of our lives, its ethical design and development become crucial. This chapter underscores the necessity of embedding ethical considerations in the GenAI development process through stakeholder engagement, transparency, and continuous monitoring. It highlights the roles of developers, ethicists, legal experts, and users in creating fair and accountable GenAI systems. Emphasis is placed on addressing biases, ensuring robustness and security, adhering to regulatory compliance, and fostering human‐centric design. Through interdisciplinary collaboration and comprehensive ethical training, the chapter outlines strategies to align GenAI technologies with societal values and ethical standards.</p>","","9781394279319","10.1002/9781394279326.ch6","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10897175.pdf&bkn=10896969&pdfType=chapter","","Ethics;Artificial intelligence;Training;Stakeholders;Prevention and mitigation;Predictive models;Robustness;Guidelines;Documentation;Decision making","","","","","","20 Feb 2025","","","Wiley","Wiley Data and Cybersecurity eBook Chapters"
